0,17957/48576,8549/18216,2147/3036,8549/9108,17657/18216,5935/6072
0,1823/4928,9113/19404,1525/2156,9113/9702,18815/19404,38219/38808
0,17957/48576,8549/18216,2147/3036,8549/9108,17657/18216,4517/4554
0,4181/11088,13865/29106,3448/4851,13865/14553,14209/14553,14381/14553
0,76201/208560,24259/52140,9191/13035,24259/26070,76333/78210,25609/26070
0,56933/155760,3625/7788,1373/1947,3625/3894,28516/29205,57721/58410
0,76201/208560,24259/52140,9191/13035,24259/26070,76333/78210,38858/39105
0,15359/41536,43873/93456,459/649,43873/46728,11485/11682,23167/23364
0,8023/21945,109103/263340,60917/87780,57538/65835,117353/131670,20066/21945
0,122761/333795,328243/801108,926021/1335180,871774/1001385,911011/1001385,3786479/4005540
0,111603/302302,561287/1360359,419957/604604,1195801/1360359,2461925/2720718,1278080/1360359
0,888623/2433354,3007223/7300062,3374213/4866708,3170771/3650031,142372/158697,301069/317394
0,609275/1668282,2061539/5004846,100579/145068,2173805/2502423,2245316/2502423,9749813/10009692
0,21435/58058,107728/261261,11521/16588,229547/261261,473119/522522,995641/1045044
0,609275/1668282,2061539/5004846,100579/145068,2173805/2502423,2245316/2502423,3080381/3336564
0,28111/75306,15241/37653,104521/150612,32911/37653,35282/37653,4351/4564
0,6383/17094,3460/8547,719/1036,2491/2849,2670/2849,5519/5698
0,28111/75306,15241/37653,104521/150612,32911/37653,35282/37653,148157/150612
0,2063/5439,8845/21756,15143/21756,4846/5439,10285/10878,21163/21756
0,1613/4488,13423/31416,10921/15708,3473/3927,11395/11781,601/616
0,55/153,20131/47124,10921/15708,3473/3927,149/154,303/308
0,1613/4488,13423/31416,10921/15708,3473/3927,11395/11781,93455/94248
0,6547/18018,3824/9009,8357/12012,1231/1386,35215/36036,71251/72072
0,8508/22715,214393/490644,38249/54516,214393/245322,436739/490644,62273/68145
0,6449/17017,266335/612612,11952/17017,266335/306306,556067/612612,1157327/1225224
0,1817/4774,188281/429660,3359/4774,188281/214830,19366/21483,403111/429660
0,19717/52668,1030291/2370060,19433/27720,1030291/1185030,424861/474012,898873/948024
0,266747/712404,2787325/6411636,998887/1424808,2787325/3205818,5748263/6411636,24974855/25646544
0,9615/25256,497743/1136520,44423/63140,497743/568260,1025351/1136520,2161871/2273040
0,266747/712404,2787325/6411636,998887/1424808,2787325/3205818,5748263/6411636,7888247/8548848
0,84607/233310,124001/279972,653063/933240,124001/139986,263987/279972,1787479/1866480
0,28493/78540,104371/235620,219859/314160,104371/117810,222181/235620,457801/471240
0,84607/233310,124001/279972,653063/933240,124001/139986,263987/279972,5516743/5599440
0,4399/11781,126547/282744,132683/188496,126547/141372,267919/282744,550663/565488
0,1018/2805,518401/1178100,823649/1178100,518401/589050,1701341/1767150,763669/785400
0,11321/31185,54889/124740,4153/5940,54889/62370,8581/8910,17491/17820
0,1018/2805,518401/1178100,823649/1178100,518401/589050,1701341/1767150,7000943/7068600
0,16873/45738,10096/22869,21379/30492,20192/22869,88997/91476,180473/182952
0,727/2002,20929/52052,817/1183,1000/1183,68027/78078,35027/39039
0,1719/4732,951/2366,817/1183,1000/1183,12739/14196,3322/3549
0,3571/9828,439/1092,1697/2457,2077/2457,724/819,2267/2457
0,1685/4641,622/1547,3205/4641,3923/4641,1368/1547,2915/3094
0,32024/88179,695/1729,3205/4641,3923/4641,2000/2261,114137/117572
0,3571/9828,439/1092,1697/2457,2077/2457,4351/4914,9265/9828
0,32024/88179,695/1729,3205/4641,3923/4641,2000/2261,107435/117572
0,3571/9828,439/1092,1697/2457,2077/2457,2267/2457,9265/9828
