0,461/1344,1633/4032,1891/4032,461/672,1133/1344,2477/2688
0,18589/54054,29665/72072,3985/9009,18589/27027,22808/27027,97655/108108
0,7001/20384,24953/61152,54877/122304,7001/10192,17193/20384,54877/61152
0,80207/234234,375587/936936,73963/156156,80207/117117,98662/117117,208291/234234
0,11/32,23/56,51/112,11/16,27/32,107/112
0,209/609,2969/7308,6847/14616,418/609,1027/1218,6847/7308
0,971/2835,4553/11340,5447/11340,1942/2835,4777/5670,284/315
0,69715/203112,330565/812448,92923/203112,69715/101556,171271/203112,388501/406224
0,100127/292656,466261/1170624,69737/146328,100127/146328,246455/292656,69737/73164
0,5351/15652,409753/1033032,124885/258258,5351/7826,13177/15652,487541/516516
0,7001/20384,24953/61152,54877/122304,7001/10192,17193/20384,37577/40768
0,15901/46410,74509/185640,21379/46410,15901/23205,19553/23205,21379/23205
0,7471/21840,34763/87360,2603/5460,7471/10920,18391/21840,40231/43680
0,7943/23188,1260007/3130380,2792143/6260760,7943/11594,5761001/6260760,654383/695640
0,72062/210375,254002/631125,281414/631125,144124/210375,116156/126225,242381/252450
0,7943/23188,1260007/3130380,2792143/6260760,7943/11594,5761001/6260760,3066157/3130380
0,167873/490875,585983/1472625,645856/1472625,335746/490875,272704/294525,567229/589050
0,2645917/7739760,770407/1934940,6635/13821,2645917/3869880,122691/161245,2481161/3095904
0,581561/1703520,29021/70980,4477/9126,581561/851760,6343/8190,46751/54080
0,836411/2452800,123943/306600,1057/2190,836411/1226400,117829/153300,2062811/2452800
0,1556221/4564560,230903/570570,3931/8151,1556221/2282280,19939/25935,22937/25935
0,3711247/10884720,550841/1360590,9373/19437,3711247/5442360,522983/680295,2562503/2721180
0,378211/1108800,56123/138600,239/495,378211/554400,53269/69300,122569/138600
0,3711247/10884720,550841/1360590,9373/19437,3711247/5442360,522983/680295,750203/907060
0,2159257/6325200,615197/1581300,4261/9036,2159257/3162600,298163/395325,10244273/12650400
0,1707103/5006400,61921/156450,565/1192,1707103/2503200,158553/208600,61921/78225
0,1077121/3151680,53561/131320,1807/3752,1077121/1575840,301687/393960,155177/196980
0,969641/2843568,8711453/21326760,147811/304668,969641/1421784,8233837/10663380,23267/26784
0,51599/152460,1193399/2744280,18943/39204,51599/76230,270667/343035,1193399/1372140
0,216703/642180,1724021/3853080,26773/55044,216703/321090,384133/481635,419429/481635
0,217673/638400,15787/39900,9/19,217673/319200,20213/26600,536873/638400
0,297/875,1469/3500,719/1500,594/875,2047/2625,1469/1750
0,341/1008,73/168,487/1008,341/504,199/252,845/1008
0,1147/3360,6037/15120,7277/15120,1147/1680,11569/15120,13597/15120
0,1638541/4804800,242873/600600,1036/2145,1638541/2402400,20989/27300,242873/300300
